run,E_modulus,func_ratio,cell_surface_coverage,cell_sense_distance,R_func_mean,R_inert_mean,Lxy,Lz,N_est,constraint
98,6.25437,0.670183,0.837962,71.4233,105.124,95.9033,1307,921,250,N_target
99,49.4579,0.266502,1.13775,24.9222,62.1824,112.707,984,954,250,N_target
100,25.481,0.268359,1.39612,75.8872,76.8292,111.033,1168,973,250,N_target
101,46.5124,0.460971,0.958088,25.578,95.9755,73.3964,978,830,250,N_target
102,21.9705,0.496816,1.04107,30.7602,98.0371,94.7627,1258,845,250,N_target
103,29.6466,0.881266,0.982707,64.8173,116.218,41.6815,989,989,356,min_image
104,44.1718,0.523778,0.963029,61.8583,45.2211,61.59,580,580,251,min_image
105,23.9042,0.797145,0.503557,31.0341,55.1485,81.4592,723,723,325,min_image
106,6.00747,0.517665,0.798687,24.7044,52.812,68.831,690,629,250,N_target
107,13.8136,0.538809,1.25075,39.986,94.8759,62.8779,856,822,250,N_target
108,39.7304,0.757931,0.993885,20.0875,90.2721,40.2434,788,788,389,min_image
109,15.9782,0.683089,0.615886,66.9312,79.799,67.7688,935,724,250,N_target
110,35.8621,0.783963,0.868683,41.0247,44.4418,109.644,931,931,1230,uncappable
111,11.1714,0.977273,0.692335,76.3095,92.9263,114.964,1099,1004,250,N_target
112,45.2205,0.468285,0.940238,34.6164,61.8486,43.1408,577,577,277,min_image
113,9.49355,0.777713,1.11029,61.0972,84.8399,58.9594,920,750,250,N_target
114,25.9804,0.721692,1.04851,51.8637,65.2904,57.9317,785,603,250,N_target
115,32.5902,0.735748,0.908237,70.223,96.5669,111.204,1241,963,250,N_target
116,33.6159,0.426137,1.26023,24.442,104.414,109.394,1407,930,250,N_target
117,43.5622,0.844855,0.931378,60.5491,48.4472,87.9915,772,772,590,min_image
118,42.8121,0.650129,1.24086,77.8248,71.4402,75.6821,898,716,250,N_target
119,16.9494,0.842471,1.4078,20.7751,71.1937,93.2321,855,810,250,N_target
120,48.2462,0.885978,1.20701,32.4009,107.309,96.5692,1393,914,250,N_target
121,47.8726,0.725401,1.3655,53.9014,85.2473,49.9778,769,750,250,N_target
122,26.4894,0.597123,0.712705,60.4879,93.5764,82.144,1124,814,250,N_target
123,48.3369,0.802186,1.33893,63.975,51.3578,92.5302,812,812,551,min_image
124,38.4659,0.879763,0.735947,46.8886,109.71,78.3645,1324,932,250,N_target
125,28.0103,0.541918,1.09585,53.5644,100.591,96.9005,1293,864,250,N_target
126,43.1133,0.363662,0.535733,71.2307,93.9705,119.874,1342,1030,250,N_target
127,40.4518,0.872639,1.1506,54.8737,50.1185,115.229,972,972,1078,uncappable
128,47.4277,0.273471,0.804598,50.3522,69.862,88.3878,1021,774,250,N_target
129,27.0454,0.276257,0.56394,25.1767,50.9177,48.2054,593,497,250,N_target
130,29.4813,0.736919,1.1182,35.7863,102.337,80.4132,1195,877,250,N_target
131,6.52471,0.857168,1.29075,31.234,109.09,60.4826,1112,927,250,N_target
132,4.77955,0.589634,1.12989,37.9086,88.3197,113.801,1171,962,250,N_target
133,23.4854,0.771121,0.880004,36.2771,119.046,77.6066,1256,1001,250,N_target
134,2.84915,0.814862,1.19612,45.2914,55.217,84.7077,747,747,358,min_image
135,5.79565,0.566262,0.54706,61.6965,97.6391,46.0632,846,846,510,min_image
136,31.2841,0.600648,1.26501,56.919,82.1135,42.5364,728,728,405,min_image
137,38.8972,0.787073,1.4187,58.7179,85.9054,69.5108,1027,756,250,N_target
138,23.7048,0.688971,1.35113,69.4832,102.535,54.7716,898,898,306,min_image
139,32.7636,0.917245,0.525245,21.3644,84.24,86.5289,1087,760,250,N_target
140,11.4206,0.818711,1.07411,61.3161,107.017,114.556,1398,971,250,N_target
141,44.3391,0.206161,1.30001,50.8121,42.5222,94.8436,822,822,335,min_image
142,31.9943,0.838438,1.49083,66.5789,118.161,67.08,1193,1008,250,N_target
143,47.2568,0.212246,1.00814,74.4276,88.4981,52.5083,804,804,500,min_image
144,20.8347,0.89847,0.902114,65.7504,61.1544,82.5243,742,742,280,min_image
145,13.1007,0.372475,0.676988,40.583,83.0537,103.893,1180,889,250,N_target
146,12.1326,0.81086,0.653363,28.0723,62.5684,78.594,760,702,250,N_target
147,10.3966,0.477583,1.2489,65.4609,114.941,119.328,1540,1014,251,N_target
148,13.3196,0.37178,1.41425,29.1995,49.2222,92.8547,807,807,343,min_image
149,41.4275,0.585809,1.15612,21.1619,76.6476,60.0264,822,687,250,N_target
150,5.10664,0.98121,0.515043,58.4939,75.5699,108.493,923,923,300,min_image
151,40.8769,0.343419,0.632967,36.0892,109.566,74.0229,931,931,254,min_image
152,7.98204,0.311681,0.733227,68.6026,115.947,80.055,995,995,253,min_image
153,7.66068,0.422443,1.34461,35.5397,90.4303,42.3461,789,789,673,uncappable
154,33.778,0.965853,0.570397,44.1977,91.6337,50.0379,1107,798,250,N_target
155,49.8571,0.293274,1.42689,52.8968,61.2379,66.6232,815,613,250,N_target
156,33.9915,0.357189,0.666402,74.027,100.322,88.9444,1151,890,250,N_target
157,30.8612,0.433068,1.16797,74.7939,43.3422,89.6147,813,813,550,min_image
